ticker,name,sector,industry,description,source
AROGRANITE,Aro Granite Industries Ltd,Industrials,Building Products & Equipment,"Incorporated in 1988, ARO Granite Industries Ltd manufactures and trades Granite Slabs and Tiles",screener
ARROWGREEN,Arrow Greentech Ltd,Consumer Cyclical,Packaging & Containers,"Incorporated in 1982, Arrow Greentech Ltd is in the business of bio-degradable (green) products, high-tech products and having Patents income for such products /technology",screener
ARSHIYA,Arshiya Ltd,Industrials,Integrated Freight & Logistics,"Incorporated in 1981, Arshiya Ltd is an integrated supply chain and logistics infrastructure solutions provider.",screener
ARSSBL,Anand Rathi Share & Stock Brokers Ltd,Financial Services,Financial Conglomerates,"Incorporated in 1991, Anand Rathi Share and Stock Brokers Limited is a Full-Service broking company.",screener
ARTEMISMED,Artemis Medicare Services Ltd,,,"Artemis Medicare Services Ltd (AMSL) was incorporated in 2004, operates a 541-bedded multi-specialty tertiary care hospital in Gurgaon.",screener
ARTNIRMAN,Art Nirman Ltd,Real Estate,Real Estate - Development,"Incorporated in 2011, Art Nirman Ltd is in the business of real estate development and allied activities",screener
ARVEE,Arvee Laboratories (India) Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 2012, Arvee Laboratories India Ltd manufactures specialized chemicals",screener
ARVIND,Arvind Ltd,Consumer Cyclical,Textile Manufacturing,"Arvind Limited (‘the Company’) is one of India’s leading vertically integrated textile company with the presence of almost eight decades in this industry. It is among the largest denim manufacturers in the world. It also manufactures a range of cotton shirting, denim, knits and bottom weights (Khakis) fabrics and Jeans and Shirts Garments.",screener
ARVINDFASN,Arvind Fashions Ltd,Consumer Cyclical,Apparel Manufacturing,Arvind Fashions Ltd operates in the branded apparels and footwear space. It has a portfolio of several owned and licensed global brands across different segments.,screener
ARVSMART,Arvind SmartSpaces Ltd,Real Estate,Real Estate - Development,"Arvind Smarspaces Ltd was incorporated as ""Arvind Infrastructure Limited"" in 2008 in Ahmedabad as a wholly-owned subsidiary of Arvind Limited. The company was incorporated with the objective of doing a real estate/infrastructure development business. Arvind Smartspaces is the real estate arm of the Lalbhai Group, a $2 billion dollar conglomerate. ASL is currently executing 9 projects through its own land, JVs and Joint Development model. ASL has also successfully executed 9 projects to date.",screener
ASAHIINDIA,Asahi India Glass Ltd,Consumer Cyclical,Auto Parts,"Asahi India Glass Ltd. (AIS) is India’s leading value-added and integrated glass solutions company and a dominant player both in the automotive and architectural glass segments. Established in 1984, It was formed as a Joint Venture between The Labroo Family, Asahi Glass Co. of Japan and Maruti Udyog Ltd (now Maruti Suzuki India Ltd).",screener
ASAHISONG,Asahi Songwon Colors Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 1990, Asahi Songwon Colors is one of the leading manufacturers of blue (Phthalocyanine) pigments for ink, plastics, paint, textile and paper industry with globally benchmarked manufacturing capabilities. The company has ventured into manufacturing of yellow, red and orange (AZO) pigments and APIs.",screener
ASAL,Automotive Stampings & Assemblies Ltd,Consumer Cyclical,Auto Parts,"Incorporated in 1990, Automotive Stampings and Assemblies Ltd is in the business of Stampings, Fabrication, and welding of Auto Components",screener
ASALCBR,Associated Alcohols & Breweries Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,"Associated Alcohols & Breweries Ltd is in business of manufacturing and trading of ENA, Indian Made Indian Liquor (Country Liquor), Indian Made Foreign Liquor and Hand sanitizer.",screener
ASHAPURMIN,Ashapura Minechem Ltd,Basic Materials,Other Industrial Metals & Mining,"Incorporated on 19th February 1982, Ashapura Minechem Ltd. is engaged in the mining, manufacturing and trading of various minerals and its derivative products. The company offers multi-mineral solutions across several industries from soaps to steel, energy to edible oils, metal to medicine and cement to ceramics. The company has its network of operations pan-India and in 7 other countries.",screener
ASHIANA,Ashiana Housing Ltd,Real Estate,Real Estate - Development,Ashiana Housing is principal business activity of the company is Real Estate Development.,screener
ASHIKA,Ashika Credit Capital Ltd,,,"Incorporated in 1994, Ashika Credit Capital Ltd provides loans and advances, inter-corporate deposits, loans against securities, and investments in shares and securities",screener
ASHIMASYN,Ashima Ltd,Real Estate,Real Estate - Development,"Incorporated in 1982, Ashima Ltd is in the business of Textiles, Real Estate and Treasury business",screener
ASHOKA,Ashoka Buildcon Ltd,Industrials,Engineering & Construction,Ashoka Buildcon Ltd is engaged in the business of construction and infrastructure facilities on EPC and BOT basis. It is also involved in the sale of RMC (ready mix and making switchgear concrete).,screener
ASHOKAMET,Ashoka Metcast Ltd,Basic Materials,Steel,"Incorporated in 2009, Ashoka Metcast Ltd is in the business of trading of steel, goods and other items",screener
ASHOKLEY,Ashok Leyland Ltd,Industrials,Farm & Heavy Construction Machinery,"Ashok Leyland is the flagship Company of the Hinduja group, having a long-standing presence in the domestic medium and heavy commercial vehicle (M&HCV) segment. The company has a strong brand and well-diversified distribution and service network across the country and has a presence in 50 countries, it is one of the most fully-integrated manufacturing companies. Its headquarter is in Chennai They manage driver training institutes across India and have trained over 8,00,000 drivers since inception.",screener
ASIANENE,Asian Energy Services Ltd,Energy,Oil & Gas Equipment & Services,"Asian Energy Services Ltd is an oilfield service and reservoir imaging company, offering a suite of geophysical services specializing in land and well seismic services and operation and maintenance services for oilfields. It is one of the few companies providing end-to-end services in the upstream oil segment.",screener
ASIANHOTNR,Asian Hotels (North) Ltd,Consumer Cyclical,Lodging,"Incorporated in 1982, Asian Hotels (North) Ltd is in the business of Hospitality, Real estate and Power Generation",screener
ASIANPAINT,Asian Paints Ltd,Basic Materials,Specialty Chemicals,"Asian Paints is the largest home decor company in India. The 80+yr old company has major brands like Asian Paints, Apco, etc under its umbrella. The co. is into wall paints, wall coverings, waterproofing, texture painting, wall stickers, mechanized tools, adhesives, modular kitchens, sanitaryware, lightings, soft furnishings, and uPVC windows.",screener
ASIANTILES,Asian Granito India Ltd,Industrials,Building Products & Equipment,"Incorporated in 1995, Asian Granito manufactures and trades Tiles, Marble and allied products",screener
ASKAUTOLTD,ASK Automotive Ltd,Consumer Cyclical,Auto Parts,"Incorporated in 1988, ASK Automotive Limited is a manufacturer of Advance Braking Systems for two-wheelers in India.",screener
ASMS,Bartronics India Ltd,Technology,Information Technology Services,"Incorporated in 1990, Bartronics India Ltd provides Automatic Identification & Data Capture (AIDC) solutions",screener
ASPINWALL,Aspinwall & Company Ltd,Consumer Defensive,Farm Products,"Incorporated in 1920, Aspinwall & Company Ltd is in diversified business activities including coffee processing and trading, logistics services",screener
ASTAR,Asian Star Company Ltd,,,"Incorporated in 1971, Asian Star Company Ltd is in the business of diamond cutting and polishing, jewellery manufacturing and retailing, and wind power generation",screener
ASTEC,Astec Lifesciences Ltd,Basic Materials,Agricultural Inputs,"The Company is into manufacturing of agrochemical active ingredients (technical), bulk and formulations, intermediate products and it sells its products in India as well as exports them to approximately 24 countries. Astec also has undertaken a number of custom synthesis projects, for its clients in Europe, Japan and the US. It is present only in business to business sale (B2B).",screener
ASTERDM,Aster DM Healthcare Ltd,Healthcare,Medical Care Facilities,"Aster DM Healthcare Limited is one of the largest integrated private healthcare service providers operating in GCC (Gulf Cooperation Council) countries and an emerging player in India. With an inherent emphasis on clinical excellence, it is one of the few entities in the world with a strong presence across primary, secondary, tertiary and quaternary healthcare.",screener
ASTRAL,Astral Ltd,Industrials,Building Products & Equipment,"Astral Poly Technik Ltd was established in 1996, with the aim to manufacture pro-India plumbing and drainage systems in the country. It has also forayed into adhesive business over years.",screener
ASTRAMICRO,Astra Microwave Products Ltd,Technology,Communication Equipment,"Astra Microwave Products is engaged in the business of design, development and manufacture of sub-systems for Radio Frequency and microwave systems used in defense, space, meteorology and telecommunication.",screener
ASTRAZEN,Astrazeneca Pharma India Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"AstraZeneca Pharma India Ltd is engaged in the business of manufacture, distribution and marketing of pharmaceutical products.",screener
ASTRON,Astron Paper & Board Mill Ltd,Basic Materials,Paper & Paper Products,"Incorporated in 2010, Astron Paper & Board Mill Ltd manufactures Kraft Paper from waste paper",screener
ATALREAL,Atal Realtech Ltd,Industrials,Engineering & Construction,"Incorporated in 2012, Atal Realtech Limited is in the business of civil construction and government contracting",screener
ATAM,Atam Valves Ltd,Industrials,Specialty Industrial Machinery,"Incorporated in 1985, Atam Valves Ltd is a manufacturer of Valves, Cocks & Boiler Mounting",screener
ATGL,Adani Total Gas Ltd,Utilities,Utilities - Regulated Gas,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users.",screener
ATHERENERG,Ather Energy Ltd,Consumer Cyclical,Auto Manufacturers,"Incorporated in 2013, Ather Energy ltd is an Indian electric two-wheeler (E2W) company engaged in the design, development, and in-house assembly of electric scooters, battery packs, charging infrastructure, and supporting software systems",screener
ATL,Allcargo Terminals Ltd,Industrials,Integrated Freight & Logistics,"Incorporated in 2019, Allcargo Terminals Ltd is in the business of Container Freight Stations and Inland Container Depots",screener
ATLANTAA,Atlantaa Ltd,Industrials,Infrastructure Operations,"Incorporated in 1977, Atlanta Ltd is engaged in the Construction business",screener
ATLANTAELE,Atlanta Electricals Ltd,Industrials,Electrical Equipment & Parts,"Incorporated in 1983, Atlanta Electricals Ltd is in the business of supplying a wide range of power transformers.",screener
ATLASCYCLE,Atlas Cycles (Haryana) Ltd,Consumer Cyclical,Leisure,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles",screener
ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,"Atul Ltd. is a diversified and integrated Indian chemical company (a part of Lalbhai Group, Gujarat). The products of the company are used in various Industries and come mainly under two segments, Life Science Chemicals and Performance and Other Chemicals under 9 Businesses.",screener
ATULAUTO,Atul Auto Ltd,Consumer Cyclical,Auto Manufacturers,"Incorporated in 1986, Atul Auto Ltd manufactures and exports Auto rickshaws",screener
AUBANK,AU Small Finance Bank Ltd,Financial Services,Banks - Regional,"AU Small Finance Bank Limited is engaged in providing a range of banking and financial services including retail banking, wholesale banking, treasury operations and other services.",screener
AURIGROW,Auri Grow India Ltd,Industrials,Electrical Equipment & Parts,"Incorporated in 2007, Auri Grow India Ltd is in the business of manufacturing of ACSR conductors",screener
AURIONPRO,Aurionpro Solutions Ltd,Technology,Software - Application,"Established in 1997, Aurionpro Solutions Limited works in providing business solutions in the fields of Transaction Banking Platform, Customer Experience (ACE Platform), Smart city and Smart Transportation experience and Cybersecurity solution. The company primarily offers software products and consulting services to banking industry in India and abroad.",screener
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Aurobindo Pharma is principally engaged in manufacturing and marketing of active pharmaceutical ingredients, generic pharmaceuticals and related services.(Source : 202003 Annual Report Page No:159)",screener
AURUM,Aurum Proptech Ltd,Real Estate,Real Estate Services,"Incorporated in 1996, Aurum PropTech Ltd is in the business of software development and other services for the real estate",screener
AUSOMENT,Ausom Enterprise Ltd,Financial Services,Capital Markets,"Incorporated in 1984, Ausom Enterprise Ltd trades in financial and commodity market along with manufacturing and trading of jewelry",screener
AUTOAXLES,Automotive Axles Ltd,Consumer Cyclical,Auto Parts,"Automotive Axles was established in 1981 as a JV of Kalyani Group (35.5% ownership) and Meritor Inc, USA (35.5% ownership). The Company is engaged in the business of manufacturing and supplying Automotive Parts to the major domestic and global manufacturers of Trucks & Buses (LCV, MCV, HCV, Military & Off-highway Vehicle Segment).",screener
AUTOIND,Autoline Industries Ltd,Consumer Cyclical,Auto Parts,"Incorporated in 1996, Autoline Industries Ltd is in the business of manufacturing sheet metal stampings, welded assemblies and modules for the automotive industry",screener
AVADHSUGAR,Avadh Sugar & Energy Ltd,Consumer Defensive,Confectioners,"Incorporated in 2015, Avadh Sugar & Energy Ltd manufactures and sells sugar and its by-products, spirits and power",screener
AVAILFC,Available Finance Ltd,,,"Incorporated in 1993, Available Finance Ltd is in the business of loans and investment",screener
AVALON,Avalon Technologies Ltd,Technology,Electronic Components,"Incorporated in 1999, Avalon Technologies Limited is a leading fully integrated Electronic Manufacturing Services (""EMS"") company with end-to-end capabilities in delivering box-build solutions, focusing on high-value precision-engineered products.",screener
AVANTEL,Avantel Ltd,Technology,Communication Equipment,"Avantel Limited is engaged in the business of designing, developing and maintaining wireless and satellite communication products, defence electronics, radar systems and development of network management software applications for its customers majorly from the aerospace and defence sectors.",screener
AVANTIFEED,Avanti Feeds Ltd,Consumer Defensive,Packaged Foods,"Avanti Feeds Ltd. manufactures and sells shrimp feed, and exports processed shrimp.",screener
AVG,AVG Logistics Ltd,Industrials,Integrated Freight & Logistics,"Incorporated in 2010, AVG Logistics Ltd is in the business of transportation of goods, warehousing and other incidental activities, along with trading business",screener
AVG-RE,AVG Logistics Limited-RE,,,,none
AVL,Aditya Vision Ltd,Consumer Cyclical,Specialty Retail,"Aditya Vision Ltd, incorporated in 1999, is engaged in trading of electronic items and is a service oriented electronic retail chain in Bihar dealing in consumer durables of all kinds.",screener
AVONMORE,Avonmore Capital & Management Services Ltd,Financial Services,Capital Markets,"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans and advances to corporations, and sub- broker advisory services",screener
AVROIND,Avro India Ltd,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Incorporated in 1996, Avro India Ltd manufactures and sells plastic moulded furniture and granules",screener
AVTNPL,AVT Natural Products Ltd,Basic Materials,Specialty Chemicals,"AVT Natural Products Limited is a part of the A.V. Thomas Group. The Company is engaged in the business of manufacturing plant-based extracts and natural ingredients solutions for the food, beverage, animal nutrition and nutraceutical industries of the world.",screener
AWFIS,AWFIS Space Solutions Ltd,Industrials,Rental & Leasing Services,"Incorporated in December 2014, Awfis Space Solutions Limited is a workspace solution provider in India.Awfis Space Solutions provides a wide spectrum of flexible workspace solutions ranging from individual flexible desk needs to customised office spaces for startups, small and medium enterprises as well as for large corporates and multi-national corporations. ICICI Securities Limited, Axis Capital Limited, IIFL Securities Limited, and Emkay Global Financial Services Limited are the book-running lead managers to the public issue.",screener
AWHCL,Antony Waste Handling Cell Ltd,Industrials,Waste Management,"Antony Waste Handling Cell Ltd is engaged in the business of mechanical power sweeping of roads, collection and transportation of waste, waste to energy project and undertake the designing, construction, operation and maintenance of the integrated waste management facility in Kanjurmarg, Mumbai. It is one of the top five players in the Indian municipal waste management industry with a track record of ~20 years.",screener
AWL,AWL Agri Business Ltd,Consumer Defensive,Packaged Foods,"Incorporated in 1999, Adani Wilmar Ltd deals in edible oil and food and other FMCG products. Adani has exited the joint venture in FY24 to focus on other segments. AWL Agri Business is the new name decided in online voting.",screener
AXISBANK,Axis Bank Ltd,Financial Services,Banks - Regional,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.",screener
AXISCADES,AXISCADES Technologies Ltd,Industrials,Engineering & Construction,Axiscades Technologies Limited is a technology solutions company focussing on engineering solutions and services.,screener
AXITA,Axita Cotton Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 2013, Axita Cotton Ltd is in the business of manufacturing, trading, processing, and finishing of cotton bales and yarn",screener
AYE,Aye Finance Ltd,Financial Services,Credit Services,"Incorporated in 1993, Aye Finance Limited is an NBFC offers secured and unsecured small business loans for working capital, including mortgage loans, Property Loans, secured and unsecured hypothecation loans, primarily to micro-scale MSMEs.",screener
AYMSYNTEX,AYM Syntex Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 1985, AYM Syntex Ltd is a manufacturer and exporter of Polyester Filament Yarn, Nylon Filament Yarn and Bulk, Continuous Filament Yarn",screener
AZAD,Azad Engineering Ltd,Industrials,Specialty Industrial Machinery,"Incorporated in 1983, Azad Engineering Limited is a manufacturer of aerospace components and turbines and supplies its products to original equipment manufacturers (OEMs) in the aerospace, defense, energy, and oil and gas industries.",screener
BAFNAPH,Bafna Pharmaceuticals Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1981, Bafna Pharmaceuticals Ltd manufactures finished pharmaceutical formulations",screener
BAGFILMS,B A G Films & Media Ltd,Communication Services,Broadcasting,"Incorporated in 1993, B.A.G. Films and Media Ltd is in the business of content production, distribution and allied activities",screener
BAIDFIN,Baid Finserv Ltd,Financial Services,Credit Services,"Baid Finserv Limited (Formerly Known as Baid Leasing and Finance Company Limited) is a Non- Deposit Taking NBFC carrying out the business of providing Car Loans, Commercial Vehicle Loans (new & used), MSME Loans, Loan Against Property and other asset backed loans. The Company is deeply penetrated in Rajasthan and has started operations in Madhya Pradesh.",screener
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Cyclical,Auto Manufacturers,"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India. It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM.",screener
BAJAJCON,Bajaj Consumer Care Ltd,Consumer Defensive,Household & Personal Products,"Bajaj Consumer Care is engaged in the business of cosmetics, toiletries and other personal care products. The Company has presence in both domestic and international markets.(Source : 201903 Annual Report Page No: 98)",screener
BAJAJELEC,Bajaj Electricals Ltd,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Bajaj Electricals Limited is a part of the Bajaj Group of companies and is a leading FMEG company spread across Consumer Products - Appliances, Fans, Lighting, Exports, and EPC - Illumination, Transmission Towers and Power Distribution. It also has its presence in premium home appliances and cookware segments with brands like Morphy Richards and Nirlep.",screener
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,Financial Conglomerates,"Bajaj Finserv Ltd. is the holding company for the various financial services businesses under the Bajaj group. It serves millions of customers by providing solutions for asset acquisition through financing, asset protection through general insurance, family and income protection in the form of life and health insurance, and retirement and savings solutions.",screener
BAJAJHCARE,Bajaj Healthcare Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1993, Bajaj Healthcare Ltd manufactures a wide range of Active Pharmaceutical Ingredients and Formulations",screener
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,Mortgage Finance,"Founded in 2008, Bajaj Housing Finance is a non-deposit-taking Housing Finance Company (HFC) registered with the National Housing Bank (NHB) since 2015 and has been offering mortgage loans.It is a 100% subsidiary of Bajaj Finance Limited — one of the most diversified NBFCs in the Indian market. BHFL offers finance to individuals as well as corporate entities for the purchase and renovation of homes, or commercial spaces. It also provides loans against property for business or personal needs as well as working capital for business expansion purposes. BHFL also offers finance to developers engaged in the construction of residential and commercial properties as well as lease rental discounting to developers and HNIs.",screener
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Consumer Defensive,Confectioners,"Bajaj Hindusthan Sugar Limited (BHSL) was incorporated in 1931 under the name ''The Hindustan Sugar Mills Limited''. The Company is engaged in the manufacture of sugar, alcohol, ethanol, and the generation of power.",screener
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financial Services,Asset Management,"Incorporated in 2024, Bajaj Holdings & Investment Ltd is an Investment and Credit Company",screener
BAJAJINDEF,Indef Manufacturing Ltd,Industrials,Farm & Heavy Construction Machinery,"Incorporated in 2022, Indef Manufacturing Ltd is in the manufacturing business",screener
BAJAJST,Bajaj Steel Industries Ltd,,,"Incorporated in 1961, Bajaj Steel Industries Ltd manufactures Cotton ginning and Pressing Machineries, Pre fabricated building structure, components and allied products",screener
BAJEL,Bajel Projects Ltd,Utilities,Utilities - Regulated Electric,"Incorporated in 2022, Bajel Projects Ltd is in the business of Engineering, Procurement and ConstructionBajel Projects Limited (BPL) is a carved out legal entity from Bajaj Electricals Ltd. It's EPC segment comprises of Power Transmission & Power Distribution. BPL provides end to end solutions ranging from inhouse design, testing, procurement, manufacturing, installation & commissioning of the projects.",screener
BAJFINANCE,Bajaj Finance Ltd,Financial Services,Credit Services,"Bajaj Finance is mainly engaged in the business of lending. BFL has a diversified lending portfolio across retail, SME and commercial customers with a significant presence in urban and rural India. It also accepts public and corporate deposits and offers variety of financial services products to its customers.(Source : 202003 Annual Report Page No:124)",screener
BALAJEE,Shree Tirupati Balajee Agro Trading Co. Ltd,Consumer Cyclical,Packaging & Containers,"Established in 2001, Shree Tirupati Balajee Agro Trading Company Limited manufactures and sells Flexible Intermediate Bulk Containers (FIBCs) and other industrial packaging products, including woven sacks, woven fabric, narrow fabric, and tapes.",screener
BALAJITELE,Balaji Telefilms Ltd,Communication Services,Entertainment,"Incorporated in 1994, Balaji Telefilms Ltd is in the business of production of TV content, Films, event business, B2C and B2B digital content business and operates a SVOD, OTT platform, etc.",screener
BALAMINES,Balaji Amines Ltd,Basic Materials,Specialty Chemicals,"Balaji Amines Ltd specialises in manufacturing Methylamines, Ethylamines, Derivatives of specialty chemicals and Pharma Excipients. These have been the main products, it also have facilities for the manufacturing of derivatives, which are down-stream products for various pharma/pesticide industries apart from user specific requirements. It is one of the largest manufacturers of aliphatic amines in India.",screener
BALAXI,Balaxi Pharmaceuticals Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Balaxi Pharmaceuticals Ltd is an IPR-based pharmaceutical Company engaged in producing, stocking, selling, and supplying branded and generic medicines.",screener
BALKRISHNA,Balkrishna Paper Mills Ltd,Consumer Cyclical,Packaging & Containers,"Incorporated in 1975, Balkrishna Paper Mills Ltd is in the Paper & Paper Boards business and trading of plastic & packaging materials.",screener
BALKRISIND,Balkrishna Industries Ltd,Consumer Cyclical,Auto Parts,"Balkrishna Industries Limited (BKT) started its Off-Highway tyre business in 1987. For over 30 years, BKT has successfully focused on specialist segments such as agricultural, construction and industrial as well as earthmoving, port and mining, ATV, and gardening applications.",screener
BALMLAWRIE,Balmer Lawrie & Company Ltd,Industrials,Conglomerates,"Balmer Lawrie & Company Ltd is engaged in the business of Industrial Packaging, Greases & Lubricants, Leather Chemicals, Logistic Services and Infrastructure, Refinery & Oil Field and Travel & Vacation Services in India.",screener
BALPHARMA,Bal Pharma Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1987, Bal Pharma Ltd does manufacturing and selling of pharmaceutical products and related services",screener
BALRAMCHIN,Balrampur Chini Mills Ltd,Consumer Defensive,Confectioners,Balrampur Chini Mills Limited (BCML) is one of the largest integrated sugar companies in India. The allied businesses of the Company comprise distillery operations and cogeneration of power. BCML is one of the most efficient integrated sugar producers in the country. The Company has grown its capacity by well-planned capacity expansion projects and the acquisition of existing companies over recent years.,screener
BALUFORGE,Balu Forge Industries Ltd,Industrials,Metal Fabrication,Balu Forge Industries Ltd is engaged in the manufacturing of fully finished and semi-finished forged crankshafts and Forged Components. It has the capability to manufacture components conforming to the New Emission Regulations & the New Energy Vehicles,screener
BANARBEADS,Banaras Beads Ltd,Consumer Cyclical,Footwear & Accessories,"Incorporated in 1980, Banaras Beads Ltd is in the business of Manufacturing and export of Handicraft items like Glass Beads; Necklaces, Imitation Jewelry, etc.",screener
BANARISUG,Bannari Amman Sugars Ltd,Consumer Defensive,Confectioners,Bannari Amman Sugars Limited is one of the leading sugar manufacturers in India. It has three sugar factories with cogeneration plants in Tamilnadu and two sugar factories with co-generation plants in Karnataka. It has two distillery units one in Tamilnadu and another in Karnataka. It has a Granite Processing unit in Tamilnadu. The company also has windmills which are located in the southern part of Tamilnadu.,screener
BANCOINDIA,Banco Products (India) Ltd,Consumer Cyclical,Auto Parts,"Banco Products (India) Ltd manufactures and supplies engine cooling modules and systems for automotive and industrial applications in both the domestic and international markets. It was Incorporated in 1961, promoted by Mr. Mehul K. Patel who has more than 40 years of experience in the automotive industry",screener
BANDHANBNK,Bandhan Bank Ltd,Financial Services,Banks - Regional,"Incorporated in 2014, Bandhan Bank is a commercial bank focused on serving underbanked and underpenetrated markets in India. The company has a PAN-India presence and offers a wide range of banking products & services and asset & liability products and services designed for micro banking and general banking.",screener
BANG,Bang Overseas Ltd,Consumer Cyclical,Apparel Manufacturing,"Incorporated in 1992, Bang Overseas Ltd is a manufacturer and exporter of men's wear",screener
BANKA,Banka Bioloo Ltd,Industrials,Pollution & Treatment Controls,"Incorporated in 2012, Banka Bioloo Ltd does manufacturing, supply, installation and O&M of Bio toilets and Controlled discharge toilet system",screener
BANKBARODA,Bank of Baroda,Financial Services,Banks - Regional,"Bank of Baroda is engaged in providing various services, such as personal banking, corporate banking, international banking, small and medium enterprise (SME) banking, rural banking, non-resident Indian (NRI) services and treasury services.(Source : Company Web-site)",screener
BANKINDIA,Bank of India,Financial Services,Banks - Regional,"Bank of India is an India-based bank. The Bank's segments include Treasury Operations, Wholesale Banking and Retail Banking. The Treasury operations segment includes the entire investment portfolio, which is dealing in government and other securities, money market operations and foreign exchange operations.(Source : Company Web-site )",screener
BANSALWIRE,Bansal Wire Industries Ltd,Basic Materials,Steel,"Incorporated in 1985, Bansal Wire Industries Ltd manufactures and sells wires of multiple varieties",screener
BANSWRAS,Banswara Syntex Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 1976, Banswara Syntex Ltd is engaged in production of textile products, and captive power generation",screener
BASF,BASF India Ltd,Basic Materials,Specialty Chemicals,"BASF India Ltd's portfolio consists of six segments: Agricultural Solutions, Materials, Industrial solutions, Surface Technologies, Nutrition & Care and Chemicals.",screener
BASML,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 1989, Bannari Amman Spinning Mills Ltd is a manufacturer of cotton yarn, knitted & woven fabrics, processing of fabrics, finished garments, home textiles and wind power generation",screener
BATAINDIA,Bata India Ltd,Consumer Cyclical,Footwear & Accessories,Bata India is primarily engaged in the business of manufacturing and trading of footwear and accessories through its retail and wholesale network.,screener
BATLIBOI,Batliboi Ltd,Industrials,Specialty Industrial Machinery,"Incorporated in 1892, Batliboi Ltd manufactures and trades machine tool and textile engineering machines",screener
BAYERCROP,Bayer CropScience Ltd,Basic Materials,Agricultural Inputs,"Bayer CropScience is engaged in Agri Care business which primarily includes manufacture, sale and distribution of insecticides, fungicides, herbicide and various other agrochemical products and corn seeds.",screener
BBL,Bharat Bijlee Ltd,Industrials,Electrical Equipment & Parts,"Established in 1946, Bharat Bijlee is a leading electrical engineering company in India engaged in manufacturing of transformers, electric motors, elevator systems, drives and automation. It also provides turnkey solutions for EHV switchyards, HV and MV substations, Electrical Balance of Plant, etc.",screener
BBOX,Black Box Ltd,Technology,Software - Application,"AGC Networks Ltd. (AGC), incorporated in 1986 by Tata Telecom Pvt. Ltd. to manufacture telecommunication equipment. It is currently held by Essar Telecom Ltd. Over the years, AGC evolved into an information and communication (ICT) solutions provider and integrator with a differentiated vertical approach in business communication systems, applications and services mainly within India.The company is present at multiple geographies such as Middle East, Africa, North America, Australia, New Zealand, Singapore, Philippines and UK servicing over 8000+ customers.",screener
BBTC,The Bombay Burmah Trading Corporation Ltd,Consumer Defensive,Packaged Foods,"Founded in the year 1863, Bombay Burmah Trading Corporation Limited (BBTCL) is a flagship Company of Wadia Group. Originally BBTCL was formed as a public company to carry out Teak business of William Wallace and was catering to domestic demands. Later in 1913 BBTCL turned to tea plantations by investing in Tea estates in South India.",screener
BBTCL,B&B Triplewall Containers Ltd,Consumer Cyclical,Packaging & Containers,"Incorporated in 2011, B&B Triplewall Containers Ltd manufactures corrugated boxes and boards",screener
BCG,Brightcom Group Ltd,Communication Services,Advertising Agencies,"Incorporated in 2010, Brightcom Group Ltd (formerly Lycos Internet Ltd) offers digital marketing solutions to businesses, agencies and online publishers worldwide",screener
BCLIND,BCL Industries Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,"Incorporated in 1976, BCL Industries Ltd is in the business of Distillery, Oil and Refinery, and Real estate development.",screener
BCONCEPTS,Brand Concepts Ltd,Consumer Cyclical,Footwear & Accessories,"Brand Concepts Ltd specializes in the manufacturing of bags, backpacks & fashion accessories for the Indian & International markets.",screener
